"sampleID","A3-A3ac-A3ah","B5","B1dk","C1-C1c-C1na-C1b","C1/C15-C1c-C1b"
"E10","0","0","0","5769.0","0"
"D10","0","0","0","5914.0","0"
"G11","0","0","0","13231.0","0"
"A11","0","0","0","3445.0","0"
"C11","0","0","0","3210.0","0"
"C12","0","0","0","3328.0","0"
"D12","0","0","0","8536.0","0"
"A12","0","0","0","5841.0","0"
"G12","0","0","0","6923.0","0"
"E12","0","0","0","4920.0","0"
"C6","0","0","0","5086.0","0"
"B10","0","0","0","5879.0","0"
"B12","0","0","0","8718.0","0"
"F6","0","0","0","4243.0","0"
"A6","0","0","0","4900.0","0"
"F12","0","0","0","3788.0","0"
"A10","0","0","0","5220.0","0"
"F11","0","0","0","4359.0","0"
"B11","0","0","0","4480.0","0"
"G6","0","0","0","7521.0","0"
"B6","0","0","0","3475.0","0"
"C10","0","0","0","3923.0","0"
"E6","0","0","0","4279.0","0"
"D6","0","0","0","3802.0","0"
"H6","0","0","0","1334.0","0"
"H11","0","0","0","1004.0","0"
"D11","200.0","0","0","0","3568.0"
"E11","0","0","0","0","3412.0"
"H12","0","154.0","800.0","1006.0","0"
